,time,activityrecognition#1,android.sensor.gravity#std,android.sensor.magnetic_field#std,android.sensor.magnetic_field_uncalibrated#std,android.sensor.orientation#mean,android.sensor.orientation#std,android.sensor.rotation_vector#mean,sound#mean,target,user,new4_std,game_rot_vec_std,mag_field_mean
4,77.0,100.0,2.64443011405e-07,1.10436115049,0.895633385013,193.201458416,181.729454699,0.322241915004,89.770732316,Car,U1,0.4520841183954749,0.045199992133249996,117.902467935
6,41.0,100.0,3.43477119119e-07,0.193432900419,0.248411981947,336.891506916,0.0472997851057,0.201198417294,65.1583690063,Train,U7,0.00498728146224,0.0001054643039216,142.222981928
8,35.0,100.0,2.15667789345e-07,0.950412143203,0.937386549196,131.29409779,1.36531981989,0.780795203731,89.8084408315,Bus,U1,0.09981733944635,0.00499618059783,86.1154908404
9,27.0,69.0,3.34175541275e-07,0.385458471571,0.322090749462,151.073183017,0.421325572144,0.968082050052,89.8157384837,Train,U1,0.09341337810637751,0.00100303658665,120.569959708
10,234.0,100.0,1.31532892159e-05,0.86683628132,2.38690913226,181.208649964,0.983991458769,0.999972632859,70.5706212127,Still,U10,0.3923155493523125,0.00279569423931905,142.0508987036
11,135.0,23.0,3.5555748142e-07,4.212702369,1.06954944801,196.714199945,0.0522503107387,0.989397875246,89.7921393254,Train,U1,0.175411986321425,0.00025938905706634997,118.4523735044
13,563.0,100.0,1.78932704818e-07,0.79873803296,0.260622465946,333.797871854,4.96750597773,0.329745121496,89.7637850713,Car,U1,0.10775312988130249,0.01265478668349,105.2880991054
15,30.0,100.0,3.80494644188e-07,0.472455911643,0.337493172674,238.466075036,0.0189609912629,0.98980001283,80.6208943317,Still,U1,0.0070231750649225,2.24961446887e-05,71.1215029663
16,32.0,54.0,2.02497577685e-05,4.40347981387,1.79597155999,70.728007837,2.21056365527,0.582883063008,84.4749283016,Still,U10,0.11337400900896,0.00743698061172,151.30676562315
17,37.0,100.0,3.54708851948e-07,1.3534247128,1.89396386427,236.331185897,1.85030084473,0.903642052413,89.7543598185,Car,U1,0.28462430055599997,0.00517068226336,96.7246980986
19,224.0,100.0,2.60112578335e-07,0.713654713304,4.6008283291,216.872228665,0.639604327851,0.997152009535,69.3492021901,Still,U1,0.07102493692647499,0.00245486291559,72.31347993555
20,159.0,83.0,4.07729506118e-07,1.15166065028,6.07656581713,299.537855747,6.33084998446,0.761913388391,89.7957957723,Walking,U1,3.7163303973399997,0.03023264078283,84.11748070435
24,28.0,54.0,1.88392338404e-05,4.40347981387,1.86201282726,65.9505158639,1.72285536546,0.538070381804,84.1331898468,Still,U10,0.135691750499025,0.010191154124595,150.90351050575
25,63.0,100.0,2.22052742656e-07,0.183731279405,0.222203607019,332.965803313,0.190480014594,0.281466687121,69.7257752192,Train,U7,0.093777015609685,0.0014426214608424998,142.2355829395
26,70.0,100.0,4.95351392634e-07,0.859782798641,0.258288068873,381.398462282,103.681809224,0.958244699255,89.7597266226,Walking,U1,2.00083325079075,0.0161013542854,94.90064121645
27,41.0,100.0,3.39851740361e-07,0.704446056228,0.520237858393,291.07440888,22.2066454746,0.977050842028,88.9821194047,Bus,U1,0.17308532125929998,0.0045736001443525,84.3732117588
28,75.0,92.0,1.67541102919e-05,0.874145457368,4.63558497982,206.428300222,1.39359968797,0.991817330917,57.6504907591,Still,U10,0.39827918617335,0.011106302579586,157.58264715035
30,495.0,100.0,2.41430835915e-07,0.908416871553,1.21245671561,52.4067847449,3.4375651223,0.458173725994,86.6673331102,Car,U1,0.0990041071846025,0.020248299448865,110.71550805425
31,517.0,51.0,2.29999985638e-07,1.77109997891,0.657697216493,274.793362466,16.195730901,0.953037823724,89.765922812,Walking,U1,0.602523965356875,0.01197401082825,64.1596666636
33,260.0,5.0,2.29738045934e-07,3.79703887448,13.3823507983,258.020318213,62.9160800783,0.955201994901,77.0642266901,Walking,U3,0.808229353072,0.02078115425875,46.25850586004999
35,35.0,54.0,1.60366585375e-05,4.40347981387,0.370485469534,72.7122133045,1.13603540036,0.595625362675,84.3823273599,Still,U10,0.0808132044315,0.00579886627323,153.0641829251
36,70.0,85.0,3.26092898659e-06,0.699405654787,0.223582758229,294.728594475,0.0753984934362,0.670535992226,85.8941731588,Bus,U7,0.2075882880405,0.00426213957265,107.04563656644999
37,25.0,100.0,2.4318516101e-07,0.918284421223,0.303623240806,299.995326521,4.4549984837,0.976778155208,89.7766526876,Bus,U1,0.76681946634125,0.00311327667771,83.45634141875001
38,69.0,100.0,4.55527911678e-07,0.714204501142,3.88064337595,190.481093705,4.01060909477,0.953692188124,89.6888441528,Walking,U1,1.8068777034124999,0.0309696903085,103.24681692535
42,269.0,100.0,1.09302963951e-05,1.25799592193,1.13483686174,91.1522004717,0.104032942939,0.701652308551,82.8746564628,Still,U10,0.046036901363375,0.000539457719983565,144.1322202687
43,39.0,15.0,3.14273266514e-07,1.10018556307,0.56750638401,141.664166918,1.52500246674,0.871737799026,89.7859479833,Bus,U1,0.32822558615235,0.002579570976635,100.18490826185
46,111.0,85.0,4.02214130346e-07,1.44611190633,2.61241809617,88.7160437637,0.425881971339,0.62691741484,89.7667831585,Car,U1,0.20575049667197504,0.002858956248135,182.680713739
47,25.0,100.0,9.28579696961e-07,0.137459675843,0.0814252522135,56.0873781868,0.222392492031,0.677349904465,76.074462729,Train,U7,0.779866161097625,0.0381840730456,142.2582524617
49,17.0,100.0,4.09183404452e-07,11.5256020625,3.34967640736,365.440150855,3.21525855442,0.934641915757,77.2211248915,Walking,U2,1.429180374775,0.00416402372026,69.48062406465
50,248.0,100.0,6.22570963408e-05,0.481426501283,1.09053317974,155.281400528,3.35371208622e-05,0.976823581758,36.6501782541,Still,U10,0.00511877995074975,1.957473948264e-06,136.22689779855
53,83.0,100.0,4.80252448069e-07,2.79139209588,2.50517695365,43.0930307085,0.0543290929171,0.366752405615,89.759161852,Train,U1,0.029512180246395,0.0002353890248355,117.28381413975
54,78.0,75.0,9.32684355589e-07,1.97386187819,0.625692367647,256.163941781,17.5731585812,0.983560663234,74.1786107161,Bus,U3,0.23845867807524998,0.00679836012074,76.75674203575
56,145.0,3.0,3.19658877878e-07,3.01945974032,0.494362030178,241.198737426,5.80471193207,0.80265183077,79.3305176272,Walking,U2,1.47520225006175,0.011623357389085,59.11018662065
58,61.0,100.0,2.22052742656e-07,0.490837609049,1.93572404892,332.258524009,0.190480014594,0.260536731405,69.7257752192,Train,U7,0.23176555812605998,0.0014426214608424998,140.610261708
59,83.0,92.0,5.30363590904e-07,11.5816018062,3.77998421966,207.602112591,14.74619107,0.921007898984,86.1704345792,Car,U1,0.4274552502805,0.0991928605914,87.88201048599998
60,97.0,100.0,2.73520216568e-06,0.0731165071183,1.12638289104,318.8950385,0.759883834177,0.389736272424,48.3839567728,Still,U10,0.1434919849217575,0.000179554081269,155.9521070612
